ID1,ID2,lat,long,el
JamesTown,blank,32.6488057,-117.0666638,400
JamesTown,blank,33.14882057,-117.0666638,400
JamesTown,blank,33.64883544,-117.5666787,400
JamesTown,blank,33.64883544,-117.0666638,400
JamesTown,blank,34.14885031,-118.5667084,400
JamesTown,blank,34.14885031,-118.0666935,400
JamesTown,blank,34.14885031,-117.5666787,400
JamesTown,blank,34.14885031,-117.0666638,400
JamesTown,blank,34.64886518,-120.5667679,400
JamesTown,blank,34.64886518,-120.066753,400
JamesTown,blank,34.64886518,-119.5667381,400
JamesTown,blank,34.64886518,-119.0667233,400
JamesTown,blank,34.64886518,-118.5667084,400
JamesTown,blank,34.64886518,-118.0666935,400
JamesTown,blank,34.64886518,-117.5666787,400
JamesTown,blank,34.64886518,-117.0666638,400
JamesTown,blank,35.14888005,-120.5667679,400
JamesTown,blank,35.14888005,-120.066753,400
JamesTown,blank,35.14888005,-119.5667381,400
JamesTown,blank,35.14888005,-119.0667233,400
JamesTown,blank,35.14888005,-118.5667084,400
JamesTown,blank,35.14888005,-118.0666935,400
JamesTown,blank,35.14888005,-117.5666787,400
JamesTown,blank,35.14888005,-117.0666638,400
JamesTown,blank,35.64889492,-121.0667828,400
JamesTown,blank,35.64889492,-120.5667679,400
JamesTown,blank,35.64889492,-120.066753,400
JamesTown,blank,35.64889492,-119.5667381,400
JamesTown,blank,35.64889492,-119.0667233,400
JamesTown,blank,35.64889492,-118.5667084,400
JamesTown,blank,35.64889492,-118.0666935,400
JamesTown,blank,35.64889492,-117.5666787,400
JamesTown,blank,35.64889492,-117.0666638,400
JamesTown,blank,36.14890979,-121.5667976,400
JamesTown,blank,36.14890979,-121.0667828,400
JamesTown,blank,36.14890979,-120.5667679,400
JamesTown,blank,36.14890979,-120.066753,400
JamesTown,blank,36.14890979,-119.5667381,400
JamesTown,blank,36.14890979,-119.0667233,400
JamesTown,blank,36.14890979,-118.5667084,400
JamesTown,blank,36.14890979,-118.0666935,400
JamesTown,blank,36.14890979,-117.5666787,400
JamesTown,blank,36.14890979,-117.0666638,400
JamesTown,blank,36.64892466,-121.5667976,400
JamesTown,blank,36.64892466,-121.0667828,400
JamesTown,blank,36.64892466,-120.5667679,400
JamesTown,blank,36.64892466,-120.066753,400
JamesTown,blank,36.64892466,-119.5667381,400
JamesTown,blank,36.64892466,-119.0667233,400
JamesTown,blank,36.64892466,-118.5667084,400
JamesTown,blank,36.64892466,-118.0666935,400
JamesTown,blank,36.64892466,-117.5666787,400
JamesTown,blank,36.64892466,-117.0666638,400
JamesTown,blank,37.14893953,-122.0668125,400
JamesTown,blank,37.14893953,-121.5667976,400
JamesTown,blank,37.14893953,-121.0667828,400
JamesTown,blank,37.14893953,-120.5667679,400
JamesTown,blank,37.14893953,-120.066753,400
JamesTown,blank,37.14893953,-119.5667381,400
JamesTown,blank,37.14893953,-119.0667233,400
JamesTown,blank,37.14893953,-118.5667084,400
JamesTown,blank,37.14893953,-118.0666935,400
JamesTown,blank,37.14893953,-117.5666787,400
JamesTown,blank,37.14893953,-117.0666638,400
JamesTown,blank,37.6489544,-122.0668125,400
JamesTown,blank,37.6489544,-121.5667976,400
JamesTown,blank,37.6489544,-121.0667828,400
JamesTown,blank,37.6489544,-120.5667679,400
JamesTown,blank,37.6489544,-120.066753,400
JamesTown,blank,37.6489544,-119.5667381,400
JamesTown,blank,37.6489544,-119.0667233,400
JamesTown,blank,37.6489544,-118.5667084,400
JamesTown,blank,37.6489544,-118.0666935,400
JamesTown,blank,37.6489544,-117.5666787,400
JamesTown,blank,37.6489544,-117.0666638,400
JamesTown,blank,38.14896927,-122.5668274,400
JamesTown,blank,38.14896927,-122.0668125,400
JamesTown,blank,38.14896927,-121.5667976,400
JamesTown,blank,38.14896927,-121.0667828,400
JamesTown,blank,38.14896927,-120.5667679,400
JamesTown,blank,38.14896927,-120.066753,400
JamesTown,blank,38.14896927,-119.5667381,400
JamesTown,blank,38.14896927,-119.0667233,400
JamesTown,blank,38.14896927,-118.5667084,400
JamesTown,blank,38.14896927,-118.0666935,400
JamesTown,blank,38.14896927,-117.5666787,400
JamesTown,blank,38.14896927,-117.0666638,400
JamesTown,blank,38.64898414,-123.0668422,400
JamesTown,blank,38.64898414,-122.5668274,400
JamesTown,blank,38.64898414,-122.0668125,400
JamesTown,blank,38.64898414,-121.5667976,400
JamesTown,blank,38.64898414,-121.0667828,400
JamesTown,blank,38.64898414,-120.5667679,400
JamesTown,blank,38.64898414,-120.066753,400
JamesTown,blank,38.64898414,-119.5667381,400
JamesTown,blank,38.64898414,-119.0667233,400
JamesTown,blank,38.64898414,-118.5667084,400
JamesTown,blank,38.64898414,-118.0666935,400
JamesTown,blank,38.64898414,-117.5666787,400
JamesTown,blank,38.64898414,-117.0666638,400
JamesTown,blank,39.14899901,-123.5668571,400
JamesTown,blank,39.14899901,-123.0668422,400
JamesTown,blank,39.14899901,-122.5668274,400
JamesTown,blank,39.14899901,-122.0668125,400
JamesTown,blank,39.14899901,-121.5667976,400
JamesTown,blank,39.14899901,-121.0667828,400
JamesTown,blank,39.14899901,-120.5667679,400
JamesTown,blank,39.14899901,-120.066753,400
JamesTown,blank,39.14899901,-119.5667381,400
JamesTown,blank,39.14899901,-119.0667233,400
JamesTown,blank,39.14899901,-118.5667084,400
JamesTown,blank,39.14899901,-118.0666935,400
JamesTown,blank,39.14899901,-117.5666787,400
JamesTown,blank,39.14899901,-117.0666638,400
JamesTown,blank,39.64901388,-123.5668571,400
JamesTown,blank,39.64901388,-123.0668422,400
JamesTown,blank,39.64901388,-122.5668274,400
JamesTown,blank,39.64901388,-122.0668125,400
JamesTown,blank,39.64901388,-121.5667976,400
JamesTown,blank,39.64901388,-121.0667828,400
JamesTown,blank,39.64901388,-120.5667679,400
JamesTown,blank,39.64901388,-120.066753,400
JamesTown,blank,39.64901388,-119.5667381,400
JamesTown,blank,39.64901388,-119.0667233,400
JamesTown,blank,39.64901388,-118.5667084,400
JamesTown,blank,39.64901388,-118.0666935,400
JamesTown,blank,39.64901388,-117.5666787,400
JamesTown,blank,39.64901388,-117.0666638,400
JamesTown,blank,40.14902875,-124.066872,400
JamesTown,blank,40.14902875,-123.5668571,400
JamesTown,blank,40.14902875,-123.0668422,400
JamesTown,blank,40.14902875,-122.5668274,400
JamesTown,blank,40.14902875,-122.0668125,400
JamesTown,blank,40.14902875,-121.5667976,400
JamesTown,blank,40.14902875,-121.0667828,400
JamesTown,blank,40.14902875,-120.5667679,400
JamesTown,blank,40.14902875,-120.066753,400
JamesTown,blank,40.14902875,-119.5667381,400
JamesTown,blank,40.14902875,-119.0667233,400
JamesTown,blank,40.14902875,-118.5667084,400
JamesTown,blank,40.14902875,-118.0666935,400
JamesTown,blank,40.14902875,-117.5666787,400
JamesTown,blank,40.14902875,-117.0666638,400
JamesTown,blank,40.64904362,-124.066872,400
JamesTown,blank,40.64904362,-123.5668571,400
JamesTown,blank,40.64904362,-123.0668422,400
JamesTown,blank,40.64904362,-122.5668274,400
JamesTown,blank,40.64904362,-122.0668125,400
JamesTown,blank,40.64904362,-121.5667976,400
JamesTown,blank,40.64904362,-121.0667828,400
JamesTown,blank,40.64904362,-120.5667679,400
JamesTown,blank,40.64904362,-120.066753,400
JamesTown,blank,40.64904362,-119.5667381,400
JamesTown,blank,40.64904362,-119.0667233,400
JamesTown,blank,40.64904362,-118.5667084,400
JamesTown,blank,40.64904362,-118.0666935,400
JamesTown,blank,40.64904362,-117.5666787,400
JamesTown,blank,40.64904362,-117.0666638,400
JamesTown,blank,41.14905849,-124.066872,400
JamesTown,blank,41.14905849,-123.5668571,400
JamesTown,blank,41.14905849,-123.0668422,400
JamesTown,blank,41.14905849,-122.5668274,400
JamesTown,blank,41.14905849,-122.0668125,400
JamesTown,blank,41.14905849,-121.5667976,400
JamesTown,blank,41.14905849,-121.0667828,400
JamesTown,blank,41.14905849,-120.5667679,400
JamesTown,blank,41.14905849,-120.066753,400
JamesTown,blank,41.14905849,-119.5667381,400
JamesTown,blank,41.14905849,-119.0667233,400
JamesTown,blank,41.14905849,-118.5667084,400
JamesTown,blank,41.14905849,-118.0666935,400
JamesTown,blank,41.14905849,-117.5666787,400
JamesTown,blank,41.14905849,-117.0666638,400
JamesTown,blank,41.64907336,-124.066872,400
