"ID1","ID2","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"JamesTown","blank",36.14891,-120.066753,400,16.2,26.4,6.4,19.9,173,14,151.5,1905.6,30,4156,1581,922,325,71,329,258,1,-14.2,43.5,1377,1204
"JamesTown","blank",36.14891,-119.566738,400,15.5,25.5,5.9,19.6,186,12,137.3,2135.6,35,3934,1701,808,313,84,320,237,2,-15.3,43.5,1407,1221
"JamesTown","blank",36.14891,-119.066723,400,15.9,25.7,6.6,19.1,282,20,91.8,1297.8,29,4052,1590,836,319,77,323,245,2,-14.6,43.9,1419,1149
"JamesTown","blank",36.14891,-118.566708,400,15.8,25.5,7.1,18.4,877,68,29.4,375.6,26,4015,1577,796,329,63,333,269,6,-13.2,43.2,1346,879
"JamesTown","blank",36.14891,-118.066694,400,17.7,28.2,8.2,20,433,53,63.8,530.4,19,4660,1297,1186,353,31,346,316,2,-6.7,46.9,1263,959
"JamesTown","blank",36.14891,-117.566679,400,19.3,30.8,8.6,22.1,209,53,140.3,583.7,15,5246,1112,1600,350,39,343,304,1,-8.1,46.8,1457,1249
"JamesTown","blank",36.14891,-117.066664,400,21,32.5,10.5,22,325,82,95.3,393.5,9,5844,826,1923,362,26,352,326,0,-3.9,47.1,1489,1178
"JamesTown","blank",36.648925,-121.566798,400,12.7,16.4,9,7.3,339,16,67,1029.5,20,2856,2013,93,329,70,331,261,2,-12.2,35.6,1014,705
"JamesTown","blank",36.648925,-121.066783,400,15.4,23.7,8.3,15.4,448,26,56.7,929.8,21,3833,1566,609,312,92,321,228,2,-15.1,44.6,1455,1085
"JamesTown","blank",36.648925,-120.566768,400,15.6,25.1,6.5,18.7,216,16,118.4,1622.3,30,3950,1638,775,322,74,328,254,2,-14.3,42.7,1346,1133
"JamesTown","blank",36.648925,-120.066753,400,15.2,25.1,5.7,19.4,250,16,101,1548.3,37,3835,1758,756,312,84,320,236,3,-15.3,43.2,1372,1133
"JamesTown","blank",36.648925,-119.566738,400,15.6,25.6,6.1,19.5,291,18,88.1,1422.6,33,3966,1675,822,319,77,324,246,3,-14.5,43.7,1376,1111
"JamesTown","blank",36.648925,-119.066723,400,18.8,29.1,10,19.1,705,48,40.8,604.9,12,5039,1068,1354,359,20,353,332,1,-5.5,45.3,1324,910
"JamesTown","blank",36.648925,-118.566708,400,12.3,22.2,1.9,20.3,729,67,30.6,333.2,101,2959,2490,404,257,113,291,179,37,-25.4,41.4,1284,878
"JamesTown","blank",36.648925,-118.066694,400,19.2,30.9,7.8,23.1,137,25,212.4,1244.3,19,5204,1186,1621,326,70,325,255,1,-15.4,47,1570,1433
"JamesTown","blank",36.648925,-117.566679,400,19.6,32,8,24,153,39,194,810.9,18,5374,1136,1745,337,58,332,275,1,-12.6,47.2,1516,1363
"JamesTown","blank",36.648925,-117.066664,400,21.5,34.6,8.6,26,67,12,473.6,2869.2,14,6037,965,2238,338,55,334,279,0,-12.5,49.4,1585,1518
"JamesTown","blank",37.14894,-122.066812,400,14,19.6,8.5,11.1,1093,38,22,521.1,21,3331,1720,275,317,88,323,234,5,-13.9,40,1268,817
"JamesTown","blank",37.14894,-121.566798,400,15.9,23.5,9.4,14.1,609,28,42.5,840.7,16,3997,1411,631,346,44,347,303,2,-8.5,42,1230,865
"JamesTown","blank",37.14894,-121.066783,400,15.3,24.4,6.2,18.2,245,18,103.1,1386.1,32,3842,1674,694,325,69,331,262,2,-14.4,42.2,1292,1061
"JamesTown","blank",37.14894,-120.566768,400,14.9,24.3,5.9,18.4,288,16,86.6,1506.6,36,3728,1772,665,311,87,319,233,3,-15.4,43.1,1357,1091
"JamesTown","blank",37.14894,-120.066753,400,15.2,24.9,6.1,18.8,305,17,82.5,1459.8,34,3802,1747,720,314,85,321,237,3,-14.9,43.5,1355,1077
"JamesTown","blank",37.14894,-119.566738,400,16.8,27.3,8.1,19.2,627,39,42.8,700.6,21,4364,1438,1024,335,60,336,276,3,-12.1,44.6,1359,970
"JamesTown","blank",37.14894,-119.066723,400,14.1,21.7,7.6,14.1,1151,95,20.9,227.7,26,3364,1824,391,326,78,329,252,8,-13.2,39.7,1173,689
"JamesTown","blank",37.14894,-118.566708,400,13.4,23,4,19,834,136,28,169.3,58,3231,2163,473,290,105,309,204,16,-20.1,39.3,1196,724
"JamesTown","blank",37.14894,-118.066694,400,15.6,26.8,4.8,21.9,234,89,109.3,301.3,44,3993,1784,921,297,92,311,219,2,-20.1,42.9,1375,1141
"JamesTown","blank",37.14894,-117.566679,400,18.3,30.5,6.6,23.8,203,40,139.1,759,27,4904,1374,1484,309,82,316,234,1,-18,46.7,1568,1364
"JamesTown","blank",37.14894,-117.066664,400,18.1,30.4,6.3,24.1,150,49,187.8,621.1,28,4848,1413,1460,314,80,319,239,1,-17.3,46.3,1529,1379
"JamesTown","blank",37.648954,-122.066812,400,12.9,17.9,7.5,10.4,496,21,46.2,833.1,26,2944,2003,152,334,60,338,277,3,-12,36.6,996,675
"JamesTown","blank",37.648954,-121.566798,400,15.9,24.5,8.8,15.7,370,30,70.1,827.7,18,4026,1466,714,347,42,347,305,1,-8.5,42.5,1222,927
"JamesTown","blank",37.648954,-121.066783,400,14.6,23.4,5.9,17.4,309,18,79.5,1331.3,36,3600,1808,566,317,81,324,243,3,-14.8,42,1288,1017
"JamesTown","blank",37.648954,-120.566768,400,14.2,23.5,5.5,18,344,19,70.3,1222.2,41,3474,1937,559,303,98,316,218,4,-16.5,42.6,1307,1019
